Nodes:
1: (90,76)
(57,95): -3
(57,62): 0
(57,100): 0
(57,7): -8
(57,13): -3
(58,59): 7
(58,76): 7
(58,48): -1
(59,58): 3
(59,71): -4
(59,43): -4
(60,80): -2
(60,89): -2
(60,99): -6
(60,14): -9
(60,71): 2
(61,1): -8
(61,26): -10
(61,31): -4
(61,82): -4
(61,63): -8
(61,57): 4
(62,94): -2
(62,37): 0
(62,58): -2
(62,85): -1
(62,54): -8
(62,26): 3
(63,57): 9
(63,46): -7
(64,58): -2
(64,26): 10
(64,70): -7
(65,82): -7
(65,43): 9
(66,63): 2
(66,87): -6
(66,53): -4
(67,90): -5
(67,13): -8
(67,95): -4
(67,2): -3
(67,35): -3
(67,51): 8
(68,79): 2
(68,34): 0
(68,94): 6
(68,11): 0
(68,72): -2
(69,61): -1
(69,81): -9
(69,64): -7
(69,56): -3
(70,94): 10
(70,20): -3
(70,11): -8
(70,51): -1
(70,8): 6
(71,23): -6
(71,28): -7
(71,37): 0
(71,63): 9
(71,67): 4
(72,87): -7
(72,97): 1
(73,33): -7
(73,22): 9
(73,6): -3
(73,92): -5
(73,35): -10
(73,38): -2
(74,15): 3
(74,93): 10
(74,73): -3
(74,81): 5
(75,22): 5
(75,4): 4
(76,40): 6
(76,19): 4
(76,21): -7
(77,87): 3
(77,59): -4
(77,12): 1
(77,1): -1
(77,40): 5
(78,71): -6
(78,12): 6
(79,89): -10
(79,40): 4
(79,27): -7
(79,16): -7
(79,60): 3
(80,59): -8
(80,32): 1
(80,89): 3
(81,12): 10
(81,47): 4
(81,100): 0
(81,18): 6
(82,2): -9
(82,45): 10
(83,92): -9
(83,94): -7
(83,45): 8
(83,70): 5
(83,90): 2
(84,35): -6
(84,56): -7
(84,44): 4
(84,69): -1
(84,18): 7
(84,77): 10
(85,41): -5
(85,16): -10
(85,98): 5
(85,66): -8
(85,92): 7
(85,42): 10
(86,21): -10
(86,7): -2
(86,69): -10
(86,83): 7
(87,53): 3
(87,91): -3
(87,57): 7
(87,64): 3
(87,49): 3
(87,40): -6
(88,20): -9
(88,50): 2
(88,58): 9
(89,20): 9
(89,23): -6
(89,96): 5
(90,42): 6
(90,31): -10
(91,6): 5
(91,27): 2
(91,26): 3
(91,95): -4
(91,38): 5
(92,98): -5
(92,59): 2
(92,51): -4
(92,48): 9
(93,99): 3
(93,82): -4
(93,24): -2
(93,43): -7
(93,96): -7
(94,3): 6
(94,96): 8
(94,65): -1
(95,38): -8
(95,21): 9
(95,94): -8
(96,81): -2
(96,40): 7
(97,74): 4
(97,85): -2
(98,19): -9
(98,22): 7
(98,42): -8
(98,30): -7
(98,44): 10
(98,56): 4
(99,32): 3
(99,19): 3
(99,65): 3
(99,77): -1
(99,85): 6
(100,6): 9
(100,50): -9
(100,62): -6
Origin:
54
Destinations:
69;92
